iter	RMSE
0	14.55483845
1	14.18219184
2	13.82044257
3	13.45997314
4	13.11109191
5	12.82175021
6	12.51655135
7	12.24175581
8	11.98122375
9	11.69531366
10	11.44072012
11	11.20557739
12	10.96153354
13	10.7693284
14	10.5426263
15	10.33209694
16	10.13894525
17	9.920660035
18	9.729236132
19	9.532686084
20	9.373970904
21	9.211355992
22	9.04128175
23	8.883355157
24	8.73466974
25	8.585605377
26	8.457388096
27	8.307950209
28	8.172746806
29	8.075533624
30	7.962716348
31	7.848318362
32	7.727282738
33	7.620525357
34	7.523753287
35	7.425862715
36	7.328883662
37	7.244174196
38	7.158502073
39	7.083584766
40	7.002052575
41	6.932807999
42	6.870256554
43	6.803797262
44	6.737758342
45	6.67885198
46	6.617343945
47	6.560416479
48	6.510944113
49	6.461428163
50	6.415509136
51	6.362407462
52	6.30955205
53	6.261730041
54	6.216124346
55	6.182653045
56	6.142650259
57	6.104449527
58	6.066008704
59	6.030421771
60	5.993866091
61	5.959074845
62	5.931056395
63	5.903491583
64	5.873440048
65	5.848127025
66	5.816668392
67	5.789840807
68	5.766856032
69	5.745637354
70	5.723138794
71	5.70319489
72	5.686908974
73	5.666650921
74	5.646083642
75	5.630973216
76	5.61492938
77	5.596754685
78	5.577236235
79	5.564054992
80	5.548015108
81	5.53284742
82	5.513630658
83	5.496994041
84	5.483030024
85	5.466117819
86	5.451394409
87	5.44090262
88	5.424866726
89	5.409723255
90	5.399896478
91	5.389304769
92	5.377562785
93	5.365769129
94	5.356177846
95	5.343257239
96	5.334182191
97	5.325645309
98	5.317501147
99	5.306235055
100	5.299250914
101	5.291372796
102	5.283926812
103	5.272995957
104	5.266784212
105	5.259766803
106	5.248604413
107	5.241873737
108	5.233884438
109	5.22387955
110	5.214327381
111	5.207175613
112	5.199862858
113	5.192799935
114	5.186369991
115	5.180662822
116	5.179643092
117	5.169744036
118	5.163750628
119	5.156201225
120	5.149372553
121	5.142970316
122	5.138216081
123	5.133113862
124	5.127719678
125	5.118336691
126	5.110750945
127	5.1062696
128	5.098018988
129	5.092974805
130	5.08620877
131	5.079209284
132	5.071501047
133	5.064660875
134	5.056842836
135	5.050153485
136	5.044620991
137	5.042156552
138	5.038275932
139	5.033115479
140	5.026908576
141	5.023296692
142	5.016808483
143	5.010503913
144	5.006622314
145	5.001476555
146	4.997812661
147	4.99064738
148	4.983889294
149	4.980421553
150	4.974650475
151	4.970823719
152	4.96635099
153	4.961190381
154	4.956219303
155	4.950833919
156	4.94785834
157	4.944009237
158	4.938803079
159	4.933539191
160	4.928570602
161	4.921796914
162	4.918409336
163	4.917697984
164	4.913837514
165	4.908928892
166	4.902885918
167	4.898407404
168	4.893972466
169	4.890417023
170	4.883360048
171	4.881368273
172	4.876800481
173	4.871267634
174	4.869833778
175	4.866091037
176	4.862836609
177	4.858255203
178	4.854683662
179	4.851554828
180	4.847445678
181	4.842473737
182	4.838708301
183	4.831874699
184	4.828314555
185	4.82349847
186	4.820527044
187	4.816539237
188	4.808894721
189	4.805496746
190	4.800747157
191	4.794951044
192	4.790537956
193	4.785208782
194	4.780679869
195	4.778381842
196	4.772597489
197	4.769480714
198	4.766474418
199	4.765855956
200	4.764792307
201	4.760400122
202	4.754751811
203	4.750628238
204	4.745943144
205	4.740509894
206	4.73812525
207	4.736064457
208	4.733576336
209	4.726839011
210	4.72320265
211	4.721067515
212	4.719027046
213	4.714864371
214	4.714510131
215	4.709371686
216	4.706806496
217	4.702958997
218	4.69564776
219	4.689239979
220	4.685354733
221	4.68153161
222	4.675047499
223	4.670740472
224	4.668035713
225	4.664929342
226	4.660998537
227	4.656136909
228	4.650407996
229	4.646456322
230	4.643059359
231	4.641494351
232	4.641042776
233	4.63756157
234	4.63093933
235	4.630630757
236	4.625266702
237	4.621862479
238	4.617572991
239	4.615109431
240	4.610464441
241	4.607984256
242	4.606385911
243	4.603605549
244	4.596061669
245	4.594351145
246	4.592830867
247	4.59068448
248	4.5866364
249	4.58155675
